timestamp,value
55091,0
55193,0.305
55294,0
55396,5.49
55497,0.366
55599,0
55700,0
55801,0
56004,4.941
56106,0
56207,0
56309,0.427
56410,0
56512,3.782
56613,5.185
56715,0
56816,0
56918,0
57019,2.684
57121,0
57222,5.185
57323,0.244
57425,0.244
57526,0
57628,0
57729,2.684
57831,0.5489999999999999
57932,0
58034,0.488
58135,0
58237,0
58440,0.366
58541,0.5489999999999999
58643,5.368
58845,0
58947,1.342
59048,0
59150,3.1719999999999997
59252,0
59556,1.708
59657,0
59759,0
59860,5.429
59961,0
60063,0
60266,0
60367,3.904
60469,0.305
60570,1.342
60672,0
60773,0
60875,0
60976,0
61078,0
61179,2.1959999999999997
61281,0
61382,3.05
61484,0.5489999999999999
61586,0.5489999999999999
61687,5.612
61789,5.3069999999999995
61992,0
62093,0.427
62195,0.061
62296,0
62398,1.464
62500,4.3309999999999995
62601,0.5489999999999999
62703,0.061
62804,0.183
62906,0
63007,2.989
63109,0
63210,0
63312,0
63515,0.427
63616,0.183
63718,0
63819,0
63921,0.61
64022,0
64124,0
64225,0
64327,0.305
64428,0
64530,0
64631,4.941
64733,3.66
64834,0
64936,0
65037,0.5489999999999999
65139,0.244
65240,5.49
65443,0.183
65545,1.22
65646,1.952
65748,0.183
65849,0.183
65951,0
66052,0.305
66154,0
66255,0.061
66357,2.013
66459,0.305
66560,0
66662,0
66763,0
66865,0
66966,0.5489999999999999
67068,0.183
67169,2.501
67271,0
67372,0
67474,0
67575,0.061
67677,0
67778,2.6229999999999998
67981,0
68083,0.488
68185,3.416
68286,5.978
68388,0
68489,0
68591,0
68692,1.5859999999999999
68794,0
68895,0.427
68997,0
69098,0
69200,0
69302,0.122
69403,0.61
69505,0.671
69606,1.464
69708,0
69810,2.6229999999999998
69911,0.488
70013,4.087
70115,4.3309999999999995
70216,3.782
70521,0.366
70623,5.795
70724,0
70826,0
70927,5.917
71029,0.488
71131,4.575
71232,0.305
71334,0
71435,5.063
71537,0
71638,2.318
71943,0
72045,0
72146,0
72248,0
72349,0.061
72451,0
72552,0
72654,0
72755,1.342
72857,0
72958,1.525
73060,0
73161,0.5489999999999999
73263,3.66
73365,2.074
73466,0.427
73567,3.904
73669,3.294
73770,5.185
73872,0.122
73973,0.183
74075,0
74176,0
74278,0
74379,0
74481,0
74786,0
74887,31.232
74989,0.5489999999999999
75090,0
75192,0
75293,4.697
75395,5.917
75496,5.49
75598,4.514
75700,0
75801,4.88
75903,0
76004,0.488
76106,3.782
76207,5.2459999999999996
76309,1.525
76410,5.368
76512,0
76613,2.6229999999999998
76715,0
76816,0.427
76918,0.488
77020,0
77121,0.366
77223,1.342
77324,0.305
77426,0
77527,0.305
77629,0
77730,0
77832,3.782
77933,0.366
78035,0
78137,0
78238,1.281
78340,0
78441,1.83
78543,4.941
78644,4.3309999999999995
78746,0
78847,0.305
78949,5.368
79051,3.782
79152,0.488
79254,2.379
79355,3.233
79457,0
79558,0.305
79660,0.122
79761,3.355
79863,4.087
79965,0.061
80066,0.7929999999999999
80168,3.965
80269,0.427
80371,3.538
80472,2.379
80574,3.538
80675,0.244
80777,2.806
80878,4.209
80980,0.122
81081,5.612
81183,0
81284,0.061
81386,0
81487,0.122
81589,2.562
